-118.500000000000	35.9000000000000	14
-118.300000000000	36	14
-118.200000000000	34.8000000000000	46
-118.200000000000	35.6000000000000	42
-118.200000000000	35.9000000000000	16
-118.100000000000	35.4000000000000	14
-118.100000000000	35.5000000000000	14
-118.100000000000	35.8000000000000	20
-118.100000000000	36.2000000000000	20
-118	35.7000000000000	35
-117.900000000000	35.1000000000000	46
-117.900000000000	35.5000000000000	14
-117.900000000000	35.7000000000000	14
-117.800000000000	35.5000000000000	21
-117.800000000000	35.7000000000000	29
-117.800000000000	36	14
-117.700000000000	35.4000000000000	25
-117.700000000000	35.6000000000000	44
-117.700000000000	35.8000000000000	42
-117.700000000000	35.9000000000000	36
-117.700000000000	36.3000000000000	46
-117.600000000000	35.4000000000000	14
-117.500000000000	35.5000000000000	24
-117.500000000000	35.7000000000000	32
-117.500000000000	35.8000000000000	40
-117.400000000000	35.5000000000000	28
-117.400000000000	35.6000000000000	26
-117.400000000000	36	14
-117.400000000000	36.1000000000000	24
-117.300000000000	35.5000000000000	14
-117.100000000000	35.5000000000000	46
